delta_x,delta_v
11.186828,3.9749196
13.523348,0.61331964
12.498267,-2.7482803
9.213116,-3.8498094
7.9847465,1.5287505
7.8750973,-1.8328495
8.663688,3.5457106
10.570998,0.18411055
9.116709,-3.1774895
8.560659,2.2010705
9.12333,-1.1605295
10.58424,4.2180305
13.163871,0.85643053
12.381902,-2.5051694
9.339861,-3.6066985
8.354603,1.7718614
8.488064,-1.5897385
9.519766,3.7888215
11.670187,0.42722148
10.459008,-2.9343786
10.14607,2.4441814
10.951852,-0.91741854
30.430445,-2.2269728
26.565073,-5.588573
20.439629,-6.690102
13.573605,-7.051051
9.143993,-1.6724911
10.092943,3.706069
12.160612,0.34446895
10.866681,-3.017131
10.470989,2.361429
11.194018,-1.0001711
9.656977,-2.1017
10.176717,3.2768598
11.815176,-0.08474013
10.092036,-3.44634
9.267136,1.9322199
9.560956,-1.4293802
10.7530155,3.94918
13.063796,0.58757985
12.012976,-2.7740202
8.702085,-3.8755493
7.447975,1.5030107
7.312586,-1.8585892
8.075437,3.519971
9.957007,0.15837078
8.476978,-3.2032292
7.8951893,2.1753309
8.43212,-1.1862692
9.8672905,4.192291
12.421182,0.8306908
11.613472,-2.5309093
33.64491,-1.2408344
30.765673,-4.602434
25.626368,-5.7039633
19.746483,-6.0649123
13.623924,-6.1831884
10.062176,-0.80462825
10.116541,0.95781827
9.435959,-2.4037817
9.653617,2.9747782
10.989996,-0.38682172
8.964774,-3.7484217
7.837792,1.6301383
7.8295302,-1.7314618
8.719509,3.6470983
10.728207,0.28549826
9.375305,-3.0761018
8.920644,2.3024583
9.584702,-1.0591418
11.147,4.3194184
13.828018,0.95781827
13.147436,-2.4037817
10.206784,-3.5053108
9.322913,1.8732492
9.557762,-1.4883509
10.690851,3.8902092
12.94266,0.52860916
11.83287,-2.832991
8.463008,-3.93452
7.149928,1.4440401
6.9555683,-1.9175599
32.282696,-2.7190304
27.925266,-6.0806303
21.307766,-7.1821594
13.949684,-7.5431085
9.028015,-2.1645486
9.484907,3.2140114
